category,service,endpoint,method,path,severity,status,cls,tier,rule,problem,expected,evidence,src
application-service,apigateway,approveprivatelinkendpoint,PUT,/v1/privatelink-endpoints/{privatelink_endpoint_id}/approval,red,red,규격,본문,runtime.500-on-client-state,클라이언트가 유발한 상태·입력에 500 반환,4xx + 원인/해소 방법 안내 (500은 서버 내부 오류 신호로만),"PUT approve on a PrivateLink Endpoint whose request/cancel already AUTO-approved it (state already APPROVED, so REQUESTED/REJECTED are never reached) -> 500 ContactAdminForAssistance instead of 400 invalid-state. req-e619b286..., 실측 2026-07-16.",runtime
compute,virtualserver,createsharingimage,POST,/v1/images/{image_id}/share,red,red,기능,본문,compute.image-sharing-orphan-volume-no-cleanup,공유 과정에서 생성된 임시 볼륨이 공유 중단 시 삭제 불가능(400 반복) 상태로 잔존,공유 레코드 소멸 시 파생 임시 볼륨 정리 경로 제공,"The hex-named 104GB temp volume createsharingimage spawns in the recipient account has no API-reachable cleanup path once its share record vanishes (source deleted mid-transfer, or recipient never acts): DELETE permanently 400s (VolumeForSharingImageDelete, ""try again later"") with no owning share left in either account's API state to reconcile against — an unrecoverable billable orphan via the API plane, confirmed via cross-account API diff 2026-07-16 (old vs new account both 0 pending-images / 0 private images, volume still stuck). 실측 타임라인: 18:03:36Z createimage 202 -> 18:03:37Z createsharingimage 202 (req_body {""account_id"": ...}) -> 18:04:35Z platform spawns a hex-named untagged 104GB temp volume in the recipient account -> 18:05:53Z deleteimage(original) 204 ACCEPTED while the share is still in flight -> the share record vanishes from BOTH accounts' API-visible state (pending-images count 0 either side) but the temp volume's VolumeForSharingImageDelete flag persists, permanently rejecting DELETE (""try again later"") with no API-visible owner left to reconcile against.",runtime
compute,virtualserver,deleteimage,DELETE,/v1/images/{image_id},red,red,기능,본문,compute.image-sharing-delete-during-transfer-unguarded,공유 전송 중인 원본 이미지 삭제가 차단 없이 성공(204) → 파생 임시 볼륨 영구 고아화,전송 중 원본 삭제를 409로 차단하거나 파생 자원 연쇄 정리,"DELETE on the source image of an in-flight createsharingimage share succeeds (204) with no guard rejecting it — deleting the source ~2m16s into a still-pending share orphans the derived temp volume permanently (see compute.image-sharing-orphan-volume-no-cleanup). 실측 타임라인: 18:03:36Z createimage 202 -> 18:03:37Z createsharingimage 202 (req_body {""account_id"": ...}) -> 18:04:35Z platform spawns a hex-named untagged 104GB temp volume in the recipient account -> 18:05:53Z deleteimage(original) 204 ACCEPTED while the share is still in flight -> the share record vanishes from BOTH accounts' API-visible state (pending-images count 0 either side) but the temp volume's VolumeForSharingImageDelete flag persists, permanently rejecting DELETE (""try again later"") with no API-visible owner left to reconcile against.",runtime
container,scr,showregistry,GET,/v1/container-registries/{registry_id},red,red,규격,본문,runtime.500-on-client-state,클라이언트가 유발한 상태·입력에 500 반환,4xx + 원인/해소 방법 안내 (500은 서버 내부 오류 신호로만),"GET on a registry mid-CREATING -> 500 ContactAdminForAssistance instead of 409/425 (a racing client-visible state, not a true not-found). req-90138294..., live 실측-07-16. Workaround: 500 retry ladder 15s x 10 until ACTIVE.",runtime
container,ske,createnodepool,POST,/v1/nodepools,red,red,규격,본문,runtime.500-on-client-state,클라이언트가 유발한 상태·입력에 500 반환,4xx + 원인/해소 방법 안내 (500은 서버 내부 오류 신호로만),"POST /v1/nodepools -> 500 ContactAdminForAssistance (16.7s) when `zone` is omitted on a single-AZ account (nodepoolcreaterequestv1dot5 added an optional `zone`; unmatched default-zone placement 500s server-side instead of 400 asking for zone). Cluster itself reaches RUNNING fine; failure isolated to nodepool create. req-87752221..., single-service live rerun 2026-07-16.",runtime
data-analytics,data-ops,getdataopsimageversionv1,GET,/v1/data-ops/image-versions,red,red,규격,본문,schema-missing-field,문서상 필수 응답 필드가 실제 응답에 없음,문서-실응답 정합,response omits documented required field(s): image_attr,runtime
data-analytics,eventstreams,eventstreamscreatecluster,POST,/v1/clusters,red,red,규격,본문,opaque-validation,잘못된 입력에 대한 400 응답이 원인 필드와 위반 규칙을 특정하지 않음,에러 응답에 필드명과 위반 내용을 포함,400 names neither field nor rule,runtime
data-analytics,quick-query,validatequickqueryresources,POST,/v1/quick-query/validate-resources,red,red,규격,본문,runtime.500-on-client-state,클라이언트가 유발한 상태·입력에 500 반환,4xx + 원인/해소 방법 안내 (500은 서버 내부 오류 신호로만),POST /v1/quick-query/validate-resources -> 500 ContactAdminForAssistance when the account has no Quick Query instance (service itself is reachable — image-versions 200 same run) instead of 400/404. Reconfirmed 실측 2026-07-16; already masked as a <자원명>-axis known_issue (data/baselines/known_issues.json) but not previously reflected as an AXIS-2 design finding.,runtime
data-analytics,searchengine,searchenginecreatecluster,POST,/v1/clusters,red,red,규격,본문,opaque-validation,잘못된 입력에 대한 400 응답이 원인 필드와 위반 규칙을 특정하지 않음,에러 응답에 필드명과 위반 내용을 포함,400 names neither field nor rule,runtime
data-analytics,vertica,verticacreatecluster,POST,/v1/clusters,red,red,규격,본문,opaque-validation,잘못된 입력에 대한 400 응답이 원인 필드와 위반 규칙을 특정하지 않음,에러 응답에 필드명과 위반 내용을 포함,400 names neither field nor rule,runtime
